Survey ID,NPS,Reason for Rating,CSAT
28897518,9,Was expecting the inquiry re esim conversion of postpaid accounts to be included in the faq of fb messenger,10
28900262,8,Madali magresponde,8
28728972,5,hnd kopa din magamit sim ko para replyan mga txt msg,5
28903600,10,"Good customer service representative, understood his job properly and knows the jargon of tech",8
28901026,0,poor service,0
28728758,0,Paulit ulit lang ang sinasabi then hindi naaksyunan yung problema. Nonsense din,0
28901434,0,Laging sira ang landline at internee,10
28893108,5,"Super disappointed Kasi Yung line keeps disconnected.  We are working at home and we put trust PLDT but we see super sad. 
Can you please add people to your designated area and so we won't wait too long if there's a problem on you connection?  We transferred PLDT because of the promises.  We understand if may connectivity issues but please also understand na may work kami and we need your team to fix the problem as soon as possible. We are waiting 8 hours already.",6
28883836,4,Issues was not resolved,0
28871432,8,Mabilis at nagawa agad ang aking internet kinabukasan ng maaga,8
28888298,10,accommodating and pleasant to talk to,10
28895854,8,"My PLDT CIGNAL TV was not working. It took awhile before it was fixed. After explaining what was the problem, it was forwarded to the technician. Instead of fixing it right there.",8
28745065,0,wala padin kaming internet,0
28876713,8,Mabilis ang sa sagit sa tawag.at napuntahan kaagad sa bahay at naayos.,8
28849407,3,Di padin nababalik yung connection ng wifi since the day I called Sabi 2 hours lang daw,4
28730161,0,"Nagreport ako na walang net last January 23 nagbigay ng tiket  #62595621 through text sabi sa text within 24 hours  then nagfollow up po ako nung friday January 26 sabi may ipapadala raw technician to repair it. Hindi lng po ito isang beses sa loob ng isang buwan na issue, Kailangan po ibawas nyo yung time na wala kami internet dahil ang seevice ninyo ang binabayaran namin, kapag di nyo naibigay ang serbisyong iyon you need to compensate us, di po mura ang inavailed namin na plan, 2,999 pesos para makakuha kami ng magandang connection. 
Gumagastos po kami ng araw araw para makapag online lng.

Pakiusap po ayusin nyo na ang internet namin, and compensate us sa mga days na walang internet.

Thank you

Ma Luisa Tejero

My Name: Ma Luisa M Tejero
Acct #: 0330657561
Landline #:0282566063
Contact #:09390365630
Email address: tejeromaluisa@gmail.com",3
28711167,10,10,10
28818762,0,poor service,0
28902235,0,ilang araw na ko wla net.. puro apologize at nagsasabe na pupunta pero wla namang napunta till now,3
28880933,9,Ok nman lahat,9
28889173,10,"Di mahirap intindihin ang instructions, mabait ang kausap na agent, madali ang result.",10
28897426,4,"Simula kaninang before lunch wala kaming connection, wala ring update sa PLDT if ano reason ng walang connection",3
28884724,10,Good service,10
28891953,6,"The agent isn’t listening clearly. I tried saying back the reference she gave me but I gave her the wrong one just to determine if what she’s saying is true. She agreed to me, so either the reference number is fake or she’s not just listening. Thanks",7
28710894,3,Matagal ang pagkonekta sa hotline. Masalimuot at maraming mga steps bago ka pa makakapag usap sa isang live agent,7
28901542,0,I made a call so many times for follow ups and complaints. It has been almost 3 months and still no clear answer and no appropriate action has been made..,9
28726263,9,Ok naman ang pag entertain sa akin. At na na repair naman after 2 days,9
28902782,3,Mawalang galang po hindi kasi maganda ang serbisyo ng PLDT bakit nasabi ko yan lagi akong nawawalan ng internet mahigit Isang linggo akong naghintay na bumalik ang signal dahil ang Sabi sa txt nag me maintenance pagkatapos na ng maintenance mawalaan ako ng internet kaya asar ang mga anak ko sa pltd  da online class nga sila lagi Pang nawawalan ng internet Sana naman po hindi  laging ganon ..at ang kahilingan ko po Sana naman mabawasan ang bill ko by February dahil mahigit Isang linggo na wala akong internet...salamat po and God bless,3
28901264,4,"Ang pagsagot ng inyong costumer representative ay maayos naman, but the service reply to me is not syncronize, we still no internet connection but you texted me with resolved answer. So please fixed this immediately for this is our primary work job.",5
28901046,5,Inaccurate timeline,5
28902720,0,"5 agents all unresponsive. No knowledge 
No handling skills
Keep in droping the calls",0
28902818,8,"The customer service assistant, Ms Jo, who assisted me with my concern was very helpful. Her voice was calm and she answered all my questions. I couldn’t figure out what I had to do to check my connection but she patiently explained what I had to do.",8
28866617,10,Mabait ang customer service na nkakausap ko everytime na tumatawag ako. Pero ang connection nyo po mssbi ko poor kht ngupgrade na kami d man lang pumalo ng 100 mbps ang connection nmin,10
28902636,6,As of now we only have 1 channel available in our cignal and internet connection bundle.,5
28899609,5,I complained about the apple.services charges incurred in my billing. Customer service said i need to call again since it is still not posted in the billing. This is waste of time and quite irritating. I already called to report the incident and i need to call back again to report???? This is not good after sales service,5
28902627,8,Hindi consistent kausap gaya sa pag request ng payment extension at reconnection ng wifi,8
28903340,4,No technician fixing our internet and landline problms the past three days,5
28903370,0,Napaka bagal ng serbisyo. Mali mali ang binibigay na impormasyon ng inyong mga ahente. Hindi nila alam ang kanilang mga ginagawa. Hindi maasahan.,0
28901880,2,"Slow action , always have back job … no internet and my modem wirings and landline not yet replace. The technician not yet going here to check our problem . Please take action .. you not rebate me .",6
28902892,8,Mbilis ang pagtugon sa aking problema,8
28901903,0,PLDT service sucks.,10
28903553,0,poor service,6
28902773,8,It was good.,8
28901622,10,Mahusay,10
28903902,10,Great customer service,10
28902154,5,Lets face it. you are the #1 Telecom during 90s and first to have fiber lines but the competition is getting better other ISP can provide better internet in terms of speed,10
28902733,9,She’s good in handling concerns. Helped me right away.,10
28901037,8,Agarang action sa request,8
28881107,2,"No definite resolution, agent advise to callback within 24 to 48 hours regarding billing concern. Agent said will hold for 2 minutes but hold time is around 4-5 minutes. No reference number given.",2
28901732,8,Jay did resolve my problem but the network was shotty,8
28900749,10,He was very helpful and I am happy he has patience.,10
28893592,10,Good customer service 🥰,10
28724788,10,Quick response.,10
28899664,9,Friendly rep & took action on my concern,9
28730568,5,9,9
28841204,9,8,9
28873686,0,"Not helpful, explained the issue more than 5 times",6
28899745,10,The agent is very helpful,10
28896357,1,Issue not resolved.,0
28899307,10,"The agent was very helpful on my concern. He was into details as quick as possible, to give proper understanding on my queries. I recommend him as a super agent. Thanks!",9
28899679,10,It wasn't that queueing when I called.,10
28899585,0,"Was unable to connect to telesales, called twice and waited for 20 minutes total",7
28899584,10,The agent is friendly and accommodating. He was able to answer and solve my problems,10
28874423,10,Jan from customer service has been very professional and extremely helpful. Concise resolution with the issues in my PLDT router.,10
28899801,0,Poor customer service. I reached you smart to ask why my bill is 900.99 while my plan is at 599 bundled with Netflix mobile. The customer representative told me to reached Netflix and have a screenshot that shows it is under Netflix mobile and needs to send this screenshot to smart communication Inc from Facebook. I spk with Joven explained what happened and provided the screenshot but what he said is the same need to talk to Netflix. Netflix confirmed that I am on a mobile bundle with smart and not premium. If this issue will not fixed better yet to cancel my smart account.,0
28899819,8,Mabilisang aksyon,8
28899629,0,The queue was long. My call was never answered until I hang up,5
28894471,10,madaliang serbisyo at pag cater ng customer ni mr. leo po napaka responsable thank you,10
28733820,10,Good service,10
28726573,7,Magnda ang pldt at affordable pa,8
28733596,6,Plan 1799 advertised pero di naman availavle,6
28725845,5,Walang direct call to retention team,6
28897557,2,Does not provide immediate feedback,1
28894858,5,Too much time waiting and many inputs.,5
28733660,10,action agad,10
28730592,1,No immediate action,1
28896047,10,Malinaw magpaliwanag ang inyo g angent sa mga katanungan ko,10
28733657,10,The services is very prompt,9
28734063,8,nagawan agad ng ticket ang report namin pero di naman agad nasolusyunan ang problema.kelanganan pa namin magreport ulit,7
28894176,8,Maganda ang serbisyo,9
28885698,0,Time consuming,0
28894381,10,Quick & easy,10
28893074,10,Nkatulong at agarang inaaksyonan ang aking concern,10
28870786,9,Sila ay sumasagot sa aking concerns,9
28894006,4,Matagal ang action sa pag responde sa ground,3
28856447,9,So far service rendered is to my expectations,10
28896888,4,"monthly walang internet, either 1 or 2 days.. worst more than a week",7
28895287,5,"This my third call for this matter, and i have yet to see if my concern is resolved.",8
28731488,6,Medjo mabagal na ang net,9
28866694,6,Ok ang pagsagot sa mga report pero wala paring dumating na technician,0
28732418,8,Not satisfied,6
28893544,10,Mabait,10
28895247,10,Response immediately to the concern raise,9
28896601,10,The agent was very helpful. The forst two werent able to assist me at all,9
28894656,8,Pagtawag sainyong hotline regarding about concerns is very accomodating mas lalo na yung mga agents na nag assist although medyo matagal nga lang ang response ng mga technicians hanggang ngayon wala pa pero regarding naman sa customer service pag tinatawagan ang 171 maayos naman na nakakausap at bihasang nakakatulong ang mga ahente na sumasagot ng call so I'll still give a good rating for that,10
28893822,1,"D maayos Ang serbisyo nyo parati mahina Ang wifi...daming beses n Ako tumatawag ,maayos Ng 2 to 3 days lng, TAs balik n nmn na mahina Ang signal",1
28897030,9,No one is perfect,9
28895477,5,"Tumawag ako kasi nawala internet namin, hangang ngayon ay wala pa ring gumagawa para maibalik ang aming internet",8
28896906,8,Madalas muhina ang net... Agents nyo d man lng nag nagsabi na pwd ako mag papalit ng router every 2 years n woang byad.. Cge lng ako reklamo..,7
28895144,8,Puro i-escalate pero wala nman movement ang concern. Kada kada contact 24 hours ang waiting na sinasabi.,5
28893935,10,Helpful staff Larry,10
28895448,5,Habang tumatagal patagal ng patagal yung mga araw na walang internet,6
28895907,0,Shitty service,0
28894509,10,Fast actions,10
28733025,4,One of your customer service has given me false information,5
28732695,5,"Red flag daw pero 3 days bago nagawa
Madalas masira pero hindi naman nababawas sa bill
Weekend inaasahan mo ang internet pero sayang ang iyong bakasyon dahil sira ang pldt
 
Meron din namang magandang masasabi pero mas natatabunan ng mga reklamo",8
28891914,10,1st rep who solved my issue.,10
28839454,1,Hindi nakakatulongn sa problem walang maayos na sagot,1
28732998,10,10/10,10
28733011,0,Critical misinformation about the process,0
28888245,0,"Palagi at madalas nawawalan ng internet.Palagi may problema sa area ng España ,Manila.At kapag nagkaproblema sobrang tagal bago ma restore ang signal ng internet.
3 days to 7 days!Every year,mga 3 to 4 times nangyayari ang problema sa PLDT.Naiinis ang mga studyante at mga nagwo work from home.Stressful!Worst service!",8
28893529,8,"PLDT signal is inconsistent, there are days/hours when it is strong and weak.",8
28894111,10,Mabilis at maayos kausap at nabigyan ng tamang adice kung anu problema at anun dapat gawn,10
28820627,1,"Malabo kausap ng some agents IBA IBA ang explanations, so disappointing",1
28856803,0,ALMOST A MONTH NA YUNG RELOCATION CONCERN BEEN CALLING OVER A MONTH HANGGANG MARESTRICT NALANG ACCOUNT KO WALA PARIN.,0
28775659,10,.,10
28892488,10,Jay has been very helpful. He was able to check on my acct and was able to explain what happened.,10
28849793,10,Inasikaso ng maayos sa costumer service representative.,10
28707935,10,Unang una .. Sinagot nila agad ang tawag ko they welcome and said hello to me in nice way .. Nasagot din naman lahat ng questions ko at naassist nila ako ng maayos .. Salamat po ng marami ☺,10
28888465,2,Pina inter ung accnt # tapos sabihin na invalid na tama naman,1
28887539,8,"2 mos pa lang ang ng entertain sa call ko, she did help but more helpful if she familiarize herself with pldt offers.",8
28731336,8,Maganda ang serbisyo,8
28888588,5,Di nmn nasolve ang problem,3
28892182,10,Maayus maki pag usap ang agent lahat ng tanung ko ay nasagot nya ng maayus...salamat,10
28892304,10,The lady was so professional and friendly.,10
